timestamp,client_id,buffer_size_bytes,max_buffer_size_bytes,buffer_overflows,packets_total,packets_complete,packets_fragmented,fragmentation_rate,streams_active,streams_max_concurrent,throughput_mbps,avg_processing_time_ms,avg_buffer_wait_ms
2025-08-05T19:10:48.907191,client_134025746733712,0,0,0,0,0,0,0.0,0,0,0.0,0,0
2025-08-05T19:10:53.908680,client_134025746733712,0,17698,0,761,71,690,0.907,5,5,0.2962,0.03,0.03
2025-08-05T19:10:58.909657,client_134025746733712,0,17698,0,2138,193,1945,0.91,5,5,0.3202,0.03,0.03
2025-08-05T19:11:03.910767,client_134025746733712,0,17698,0,3550,318,3232,0.91,5,5,0.3265,0.02,0.02
2025-08-05T19:11:08.912373,client_134025746733712,0,17698,0,4955,442,4513,0.911,5,5,0.321,0.02,0.02
2025-08-05T19:11:13.913727,client_134025746733712,0,17698,0,6355,566,5789,0.911,5,5,0.3054,0.02,0.02
2025-08-05T19:11:18.915529,client_134025746733712,3654,17698,0,7767,690,7077,0.911,5,5,0.3063,0.02,0.02
2025-08-05T19:11:23.917464,client_134025746733712,0,17698,0,9143,813,8330,0.911,5,5,0.3084,0.02,0.02
2025-08-05T19:11:28.919658,client_134025746733712,0,17698,0,10497,937,9560,0.911,5,5,0.3048,0.02,0.02
2025-08-05T19:11:33.922579,client_134025746733712,0,17698,0,11926,1063,10863,0.911,5,5,0.3002,0.02,0.02
2025-08-05T19:11:38.925800,client_134025746733712,0,17698,0,13254,1187,12067,0.91,5,5,0.2959,0.02,0.02
2025-08-05T19:11:43.928888,client_134025746733712,0,20326,0,14743,1312,13431,0.911,5,5,0.3324,0.02,0.02
2025-08-05T19:11:48.931612,client_134025746733712,0,20326,0,16190,1436,14754,0.911,5,5,0.3064,0.02,0.02
2025-08-05T19:11:53.934648,client_134025746733712,0,20326,0,17633,1561,16072,0.911,5,5,0.3207,0.02,0.02
2025-08-05T19:11:58.938570,client_134025746733712,0,20326,0,19045,1685,17360,0.912,5,5,0.319,0.02,0.02
2025-08-05T19:12:03.943236,client_134025746733712,0,22394,0,20493,1809,18684,0.912,5,5,0.3308,0.02,0.02
2025-08-05T19:12:08.947933,client_134025746733712,0,22823,0,22125,1933,20192,0.913,5,5,0.3395,0.02,0.02
2025-08-05T19:12:13.951828,client_134025746733712,12180,26494,0,23722,2057,21665,0.913,5,5,0.3265,0.02,0.02
2025-08-05T19:12:18.955808,client_134025746733712,0,26494,0,25354,2182,23172,0.914,5,5,0.3632,0.02,0.02
2025-08-05T19:12:23.961243,client_134025746733712,0,26494,0,26999,2306,24693,0.915,5,5,0.3696,0.02,0.02
2025-08-05T19:12:28.965892,client_134025746733712,0,26494,0,28672,2431,26241,0.915,5,5,0.3666,0.02,0.02
2025-08-05T19:12:33.971391,client_134025746733712,0,26494,0,30146,2556,27590,0.915,5,5,0.3097,0.02,0.02
2025-08-05T19:12:38.977037,client_134025746733712,0,26494,0,31560,2681,28879,0.915,5,5,0.3079,0.02,0.02
2025-08-05T19:12:43.983007,client_134025746733712,0,26494,0,32968,2806,30162,0.915,5,5,0.315,0.02,0.02
2025-08-05T19:12:48.987782,client_134025746733712,0,26494,0,34360,2930,31430,0.915,5,5,0.3055,0.02,0.02
2025-08-05T19:12:53.993943,client_134025746733712,0,26494,0,35762,3055,32707,0.915,5,5,0.3063,0.02,0.02
2025-08-05T19:12:59.000543,client_134025746733712,0,26494,0,37159,3180,33979,0.914,5,5,0.2981,0.02,0.02
2025-08-05T19:13:04.005594,client_134025746733712,0,26494,0,38547,3304,35243,0.914,5,5,0.306,0.02,0.02
