timestamp,client_id,buffer_size_bytes,max_buffer_size_bytes,buffer_overflows,packets_total,packets_complete,packets_fragmented,fragmentation_rate,streams_active,streams_max_concurrent,throughput_mbps,avg_processing_time_ms,avg_buffer_wait_ms
2025-08-05T18:17:37.067319,client_134025771007200,0,0,0,0,0,0,0.0,0,0,0.0,0,0
2025-08-05T18:17:42.068742,client_134025771007200,0,16721,0,642,62,580,0.903,5,5,0.2741,0.04,0.04
2025-08-05T18:17:47.070186,client_134025771007200,0,16725,0,1980,186,1794,0.906,5,5,0.2993,0.03,0.03
2025-08-05T18:17:52.072014,client_134025771007200,0,16984,0,3328,310,3018,0.907,5,5,0.2981,0.03,0.03
2025-08-05T18:17:57.073274,client_134025771007200,0,16984,0,4684,435,4249,0.907,5,5,0.3026,0.03,0.03
2025-08-05T18:18:02.074591,client_134025771007200,0,17214,0,6041,561,5480,0.907,5,5,0.3006,0.03,0.03
2025-08-05T18:18:07.076421,client_134025771007200,12180,17214,0,7396,686,6710,0.907,5,5,0.3016,0.03,0.03
2025-08-05T18:18:12.078033,client_134025771007200,0,17214,0,8758,813,7945,0.907,5,5,0.294,0.03,0.03
2025-08-05T18:18:17.080674,client_134025771007200,0,17214,0,10104,937,9167,0.907,5,5,0.3008,0.03,0.03
2025-08-05T18:18:22.083688,client_134025771007200,0,17214,0,11445,1061,10384,0.907,5,5,0.3088,0.03,0.03
2025-08-05T18:18:27.086315,client_134025771007200,6090,17214,0,12794,1185,11609,0.907,5,5,0.2923,0.03,0.03
2025-08-05T18:18:32.088802,client_134025771007200,0,17214,0,14134,1309,12825,0.907,5,5,0.302,0.03,0.03
2025-08-05T18:18:37.091476,client_134025771007200,0,17214,0,15486,1434,14052,0.907,5,5,0.2957,0.03,0.03
2025-08-05T18:18:42.096025,client_134025771007200,0,17214,0,16828,1558,15270,0.907,5,5,0.2944,0.03,0.03
2025-08-05T18:18:47.099623,client_134025771007200,0,17214,0,18147,1683,16464,0.907,5,5,0.2897,0.03,0.03
2025-08-05T18:18:52.105712,client_134025771007200,0,17214,0,19472,1807,17665,0.907,5,5,0.2931,0.03,0.03
2025-08-05T18:18:57.110792,client_134025771007200,0,17214,0,20808,1931,18877,0.907,5,5,0.29,0.03,0.03
2025-08-05T18:19:02.115540,client_134025771007200,2436,17809,0,22167,2055,20112,0.907,5,5,0.3068,0.03,0.03
2025-08-05T18:19:07.121076,client_134025771007200,0,17809,0,23580,2180,21400,0.908,5,5,0.308,0.03,0.03
2025-08-05T18:19:12.127193,client_134025771007200,0,17809,0,24985,2304,22681,0.908,5,5,0.3071,0.03,0.03
2025-08-05T18:19:17.131500,client_134025771007200,0,17809,0,26396,2429,23967,0.908,5,5,0.3088,0.03,0.03
2025-08-05T18:19:22.136124,client_134025771007200,0,17809,0,27792,2553,25239,0.908,5,5,0.3077,0.03,0.03
2025-08-05T18:19:27.141712,client_134025771007200,0,17809,0,29181,2676,26505,0.908,5,5,0.3058,0.03,0.03
2025-08-05T18:19:32.146843,client_134025771007200,0,17809,0,30575,2800,27775,0.908,5,5,0.3074,0.03,0.03
2025-08-05T18:19:37.156487,client_134025771007200,0,17809,0,31962,2924,29038,0.909,5,5,0.2978,0.03,0.03
