timestamp,client_id,buffer_size_bytes,max_buffer_size_bytes,buffer_overflows,packets_total,packets_complete,packets_fragmented,fragmentation_rate,streams_active,streams_max_concurrent,throughput_mbps,avg_processing_time_ms,avg_buffer_wait_ms
2025-08-03T21:12:26.692123,client_137858620729216,0,0,0,0,0,0,0.0,0,0,0.0,0,0
2025-08-03T21:12:31.697843,client_137858620729216,7371,15222,0,152,20,132,0.868,5,5,0.0,0.05,0.04
2025-08-03T21:12:36.700321,client_137858620729216,0,15222,0,1130,144,986,0.873,5,5,0.2444,0.04,0.04
2025-08-03T21:12:41.701829,client_137858620729216,0,15222,0,2111,267,1844,0.874,5,5,0.2403,0.04,0.04
2025-08-03T21:12:46.702994,client_137858620729216,0,15222,0,3084,390,2694,0.874,5,5,0.2522,0.04,0.04
2025-08-03T21:12:51.704288,client_137858620729216,0,15222,0,4042,512,3530,0.873,5,5,0.2444,0.04,0.04
2025-08-03T21:12:56.705537,client_137858620729216,0,15222,0,5001,635,4366,0.873,5,5,0.252,0.04,0.04
2025-08-03T21:13:01.708182,client_137858620729216,0,15222,0,5984,757,5227,0.873,5,5,0.2553,0.04,0.04
2025-08-03T21:13:06.709795,client_137858620729216,0,15222,0,6986,880,6106,0.874,5,5,0.2344,0.04,0.04
2025-08-03T21:13:11.712156,client_137858620729216,0,15222,0,7970,1003,6967,0.874,5,5,0.2525,0.04,0.04
2025-08-03T21:13:16.714813,client_137858620729216,0,15222,0,8936,1126,7810,0.874,5,5,0.249,0.04,0.04
2025-08-03T21:13:21.717200,client_137858620729216,0,15222,0,9885,1249,8636,0.874,5,5,0.2456,0.04,0.04
2025-08-03T21:13:26.719953,client_137858620729216,0,15222,0,10837,1372,9465,0.873,5,5,0.2513,0.04,0.04
2025-08-03T21:13:31.722472,client_137858620729216,0,15222,0,11806,1497,10309,0.873,5,5,0.2512,0.04,0.04
2025-08-03T21:13:36.726423,client_137858620729216,7100,15222,0,12745,1618,11127,0.873,5,5,0.2435,0.04,0.04
